Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Ano
NE,MA,4,1334.8173697761931,0.449313951908708,26.88031206975677,25.865098669114275,2020
NE,MA,5,1495.10579481398,0.0788132635253054,27.83082200647249,26.691818770226536,2020
NE,MA,6,1511.7610439701723,0.0139190678633286,27.2937349738368,26.020322443784472,2020
NE,MA,7,1604.9941914841252,0.0027529874451671,27.230527604025017,25.758254011422355,2020
NE,MA,8,1577.719454163751,0.0011752297724875,28.176084010840107,26.66319783197832,2020
NE,MA,9,1370.6710834728533,0.0060577673692427,29.48958157820837,28.02659365346813,2020
NE,MA,10,1422.3270004679457,0.0377761081893313,29.49777027027027,28.23443243243243,2020
NE,MA,11,1231.4182245185532,0.2317783432287249,28.028025477707008,27.040268931351733,2020
NE,MA,12,1216.9275683825113,0.0877514218338188,27.77161335187761,26.72865090403338,2020
NE,PB,1,1440.5576181157394,0.0647317854283426,27.96395796847636,26.7338704028021,2020
NE,PB,2,1466.1615821094792,0.1456796000952154,27.51873848044235,26.36442760597993,2020
NE,PB,3,1414.0538837744534,0.3120871519972332,26.67803738317757,25.57973347178955,2020
NE,PB,4,1429.3940185630802,0.2261925795053003,26.42433307926829,25.360099085365853,2020
NE,PB,5,1173.6633485888633,0.2344218021114657,25.34239152999793,24.30301017230641,2020
NE,PB,6,1161.340212264151,0.1163964703468089,24.25384773240304,23.15134414118613,2020
NE,PB,7,1235.4273734177216,0.1181573143837294,23.927502590673573,22.66381347150259,2020
NE,PB,8,1423.6114285714286,0.0205250596658711,24.856323469801374,23.50074989866234,2020
NE,PB,9,1529.390084643289,0.0388973191704603,25.61442019683355,24.2346812152332,2020
NE,PB,10,1636.747812251392,0.0101221640488656,27.19751840168244,25.800946372239743,2020
NE,PB,11,1516.1656463954891,0.0428940568475452,27.178906079755937,25.87709740684245,2020
NE,PB,12,1505.1329783187523,0.0139860139860139,27.324886877828057,25.977910324969148,2020
NE,PE,1,1394.7761817515575,0.0712297570850202,27.815105672969967,26.46031145717464,2020
NE,PE,2,1427.404518192723,0.1423052362707535,27.229887694722866,25.96868735659945,2020
NE,PE,3,1290.743273542601,0.2983420463032114,26.49925081068992,25.314212233031423,2020
NE,PE,4,1290.7804157761802,0.1576477851520296,26.036469780219782,24.8573489010989,2020
NE,PE,5,1090.6342261335374,0.1349353049907578,25.116566230812964,23.982330869812397,2020
NE,PE,6,1047.6801604382704,0.122510460251046,23.81265701638952,22.637803565019738,2020
NE,PE,7,1160.0108449641646,0.0643433365601807,23.22082188644689,21.97488553113553,2020
NE,PE,8,1354.4718112005994,0.0331845023764943,23.81921249151392,22.531093007467756,2020
NE,PE,9,1510.6694391087206,0.0199139338180738,25.06212997224792,23.68297872340425,2020
NE,PE,10,1644.2583491101857,0.0090762699458351,27.565098545283902,26.07055373064289,2020
NE,PE,11,1469.2063706163106,0.0914379622021364,27.05377053595475,25.68175329921896,2020
NE,PE,12,1480.0180046111927,0.0261627127730867,27.436591579511934,26.038664700361977,2020
NE,PI,1,1242.0843666082894,0.2396990525729147,27.008201692524683,25.87679830747532,2020
NE,PI,2,1384.428766066838,0.2796184419713831,26.882381202612414,25.70136626379401,2020
NE,PI,3,1303.934458438287,0.4636512618813504,26.47439416058394,25.392233576642333,2020
NE,PI,4,1335.423104494072,0.2584482551864732,26.828081527013914,25.664340019411195,2020
NE,PI,5,1335.7368856088565,0.0634179084440864,26.967177694100773,25.68660570199032,2020
NE,PI,6,1450.7457431222529,0.0188050740776605,26.81083624369421,25.3819654637175,2020
NE,PI,7,1590.537415654521,0.0026604857401995,27.19550414225096,25.56245706203273,2020
NE,PI,8,1728.0624079528718,0.0022791379893941,28.35027167760924,26.646694589087616,2020
NE,PI,9,1810.820466226138,0.0007466168922071,29.9109411489958,28.169652031760855,2020
NE,PI,10,1711.9861637678323,0.0496255870034268,30.636040868454664,28.88979565772669,2020
NE,PI,11,1350.562087912088,0.128674772972141,28.095128494775487,26.801962722394805,2020
NE,PI,12,1346.5103016622204,0.0462154585502603,28.218057874234837,26.83504451864218,2020
NE,RN,1,1579.6523910733265,0.1490422984836392,29.01126225245049,27.933366673334667,2020
NE,RN,2,1562.1917361637604,0.2461881188118811,28.60891800507185,27.542561284868977,2020
NE,RN,3,1555.1598765432095,0.3563267233238905,27.989658634538152,26.96698795180723,2020
NE,RN,4,1586.788823794502,0.2606060606060606,28.25792181069959,27.187577160493827,2020
NE,RN,5,1455.5826334888543,0.2053446940356313,27.82859290438965,26.75604329524955,2020
NE,RN,6,1471.0688636363636,0.1813455657492355,27.345119006553983,26.09755087961366,2020
NE,RN,7,1546.9677659574468,0.1263243024666397,27.606720055710305,26.15142757660167,2020
NE,RN,8,1884.0435632808255,0.013584036838066,28.953875671527246,27.32233307751343,2020
NE,RN,9,2053.37339988256,0.0168825741746761,29.40628667225482,27.770452640402347,2020
NE,RN,10,2125.676477472206,0.0172310330047149,30.214390034364264,28.57963917525773,2020
NE,RN,11,2014.0925722145803,0.0235167206040992,30.792207792207797,29.12900432900433,2020
NE,RN,12,1913.981385642738,0.0161331626120358,30.653401797175867,29.02252888318357,2020
NE,SE,1,1795.9556118754526,0.0467228464419475,28.070063821300355,26.77451136816913,2020
NE,SE,2,1760.3048838125244,0.118954248366013,28.243611357586516,26.955922803904173,2020
NE,SE,3,1612.4635058556858,0.1996629213483146,27.94334332191781,26.731742294520547,2020
NE,SE,4,1651.625,0.2847069597069597,27.300951796131407,26.164384402824684,2020
NE,SE,5,1291.9293293293292,0.2528673835125448,25.573670956911023,24.54322887520985,2020
NE,SE,6,1274.338749359303,0.3039392501186521,24.375275501554118,23.28058773664877,2020
NE,SE,7,1421.53177028451,0.1081774452164617,23.486692467996427,22.279339089014588,2020
NE,SE,8,1581.9861664712778,0.1125,23.37681862269641,22.09812479793081,2020
NE,SE,9,1650.4607932379715,0.0583333333333333,24.326180555555556,22.940868055555555,2020
NE,SE,10,1847.8615861214373,0.0205645161290322,26.53760080645161,25.1171370967742,2020
NE,SE,11,1656.9561260210037,0.050062893081761,26.577151144054135,25.24859813084112,2020
NE,SE,12,1809.5035036496351,0.0035502958579881,27.041366325981716,25.614443249058635,2020
S,PR,1,1308.2304778605874,0.1972718772344755,24.07202708654481,22.79161528297732,2020
S,PR,2,1390.5674727068667,0.1807784431137724,23.85062638614158,22.531756878259305,2020
S,PR,3,1541.6663213448007,0.0592977741426651,23.69868088689307,22.167488071849565,2020
S,PR,4,1406.377664,0.0551750477402928,20.58470695970696,19.026147741147746,2020
S,PR,5,1129.8972341164215,0.1316168259089217,17.343261396853038,15.85268362460352,2020
S,PR,6,808.1808553488922,0.1878199912374037,18.393146046278297,17.2829058757133,2020
S,PR,7,1005.8019226287578,0.0446949844597477,17.170298480131844,15.843996825978149,2020
S,PR,8,1132.6029900332226,0.1883386895782776,18.042230169050715,16.692750325097528,2020
S,PR,9,1334.8213810880477,0.0376467114490293,22.251027121865636,20.76171503764895,2020
S,PR,10,1473.7711891674487,0.1184384686269582,22.75107379929715,21.27106598984772,2020
S,PR,11,1660.3282834936108,0.1296941339571961,22.697322656313197,21.14895251961498,2020
S,PR,12,1447.8260236702488,0.2272179155900086,23.349913389918584,21.9998527628616,2020
S,RS,1,1591.434213648321,0.1894407460809276,24.092321379268032,22.781924716998496,2020
S,RS,2,1676.3863890688497,0.092954770551337,23.44013668328436,22.054468618970585,2020
S,RS,3,1584.892767553628,0.0451420401566482,24.052481894756472,22.618736207378856,2020
S,RS,4,1322.0196703296704,0.064403681702461,19.275454575131395,17.904335194071752,2020
S,RS,5,1054.0162891986065,0.2138392411382925,15.866014858649857,14.608387740005789,2020
S,RS,6,721.2562177969643,0.2660589401899725,15.398246027471048,14.457019256665768,2020
S,RS,7,911.901620338036,0.2334985760995675,13.048677517802645,11.963977619532043,2020
S,RS,8,1120.0603132988135,0.1095383349898893,15.72824611770847,14.47706511809996,2020
S,RS,9,1098.7046048376667,0.185125429006121,16.75422545048191,15.664621455510543,2020
S,RS,10,1467.4206227128946,0.0899500965286125,19.584710772916225,18.303758895230043,2020
S,RS,11,1643.7120317095005,0.1081766216552067,21.26986089644513,19.88389489953632,2020
S,RS,12,1680.405983586477,0.1444336230146838,23.19763965381589,21.832823798284068,2020
S,SC,1,1367.6903331723806,0.2311959256304841,22.65121487299055,21.464823904773592,2020
S,SC,2,1444.3191261910297,0.2132842373601473,21.83685840099078,20.656612082014583,2020
S,SC,3,1517.2583079869326,0.0698770904694741,21.969834135224108,20.6853000759686,2020
S,SC,4,1347.3510048184276,0.08323927381519,18.271377470975843,16.97551929714465,2020
S,SC,5,1070.3630855066822,0.1003135669988154,15.71149844257406,14.41919278944927,2020
S,SC,6,712.6787701118079,0.2648928415220878,15.89253307473852,14.9605804530027,2020
S,SC,7,842.8478928712092,0.17950389794472,14.034866029352363,13.00313089146243,2020
S,SC,8,1090.6366928336288,0.1566895368782161,15.603921303495367,14.487872023809524,2020
S,SC,9,1020.8547845227062,0.1315702021600664,18.23237931944078,17.214118965972038,2020
S,SC,10,1337.255649295173,0.0902053819562122,19.877500481170205,18.686411753384228,2020
S,SC,11,1435.5349414724867,0.1979765105419555,19.924104104104103,18.677150483817147,2020
S,SC,12,1338.900975514584,0.2615841952065399,21.80470056357218,20.66453830432898,2020
SE,ES,1,1192.1217005076142,0.362775402828017,25.90925803610744,24.783036107441657,2020
SE,ES,2,1365.713372422924,0.1994334277620396,26.236748198038523,25.02159990547087,2020
SE,ES,3,1242.0084647941517,0.272216796875,24.604369282619164,23.47165382763601,2020
SE,ES,4,1079.7252555076084,0.0571724036046683,23.9538862418106,22.834201905896368,2020
SE,ES,5,1120.2579654510555,0.0795678178661007,22.477129169623847,21.20234208658623,2020
SE,ES,6,1053.4020576131688,0.0796475031472933,22.171603697749195,20.89594051446945,2020
SE,ES,7,1017.2821788220934,0.1117867555185339,21.45724465558195,20.20239509105305,2020
SE,ES,8,1144.5771798561152,0.0554083448684991,21.52021764032073,20.25847651775487,2020
SE,ES,9,1398.4506350914962,0.080909780136467,23.93177330426978,22.49205026285421,2020
SE,ES,10,1051.6133178556354,0.2542086068563092,24.12666238767651,23.058100128369706,2020
SE,ES,11,1198.6360229934,0.1346864586488942,24.03075508864084,22.926828627708467,2020
SE,ES,12,1576.8406255960329,0.194038485725066,26.22845262096774,24.886176915322583,2020
SE,MG,1,1344.6822480018886,0.4324601390668656,24.590422692570293,23.33188090952352,2020
SE,MG,2,1324.2379054715136,0.3848286086526798,24.145310979386004,22.931529240024773,2020
SE,MG,3,1374.012716217237,0.2715876715876716,23.122898298243005,21.912834349571902,2020
SE,MG,4,1328.7084870848707,0.0806773873520522,22.290756340682545,21.035812084194276,2020
SE,MG,5,1289.919527230985,0.0561248695322136,19.652943433705023,18.262543451762895,2020
SE,MG,6,1290.9899102317486,0.0119333333333333,19.989493047923933,18.493807635338527,2020
SE,MG,7,1361.3870032558762,0.0090819626036833,20.051832041282783,18.423626852659112,2020
SE,MG,8,1481.7451269986493,0.0151119576326303,20.37386838480753,18.75878796367626,2020
SE,MG,9,1695.0615216271883,0.0172736185170129,24.345199181610305,22.54075143813031,2020
SE,MG,10,1334.994182334161,0.1630510846745976,24.814479471296657,23.3946945448684,2020
SE,MG,11,1464.7361057432172,0.1902705337557884,23.38166623750556,22.01026709426719,2020
SE,MG,12,1497.2557602022391,0.2930368354041358,24.179421581975493,22.832825332689183,2020
SE,RJ,1,1371.1931439393938,0.2824751237018106,24.9378231292517,23.811961904761905,2020
SE,RJ,2,1136.4286126879792,0.4250782608695652,24.37512902290519,23.37442157146999,2020
SE,RJ,3,1344.3423064770932,0.2961654894046417,23.585430797690453,22.510376142160435,2020
SE,RJ,4,1140.062876974629,0.0673325156240873,22.197202266222767,21.12522633023772,2020
SE,RJ,5,1106.2743130829342,0.1286481813129129,20.139895944188247,18.90902802412203,2020
SE,RJ,6,988.7622538150516,0.0236704217972229,20.821856999749563,19.55617956423741,2020
SE,RJ,7,1002.0580988970132,0.0482165443966607,20.45415230145769,19.18697756003145,2020
SE,RJ,8,1253.825982669848,0.080831379507002,20.135271669998183,18.80357986552789,2020
SE,RJ,9,1338.6517920691408,0.1358236294648698,23.22930199057098,21.942862755369305,2020
SE,RJ,10,1231.3940691139542,0.1688634315870768,23.2639055179594,22.140213430504943,2020
SE,RJ,11,1291.9738078291814,0.255270695075096,22.788650013650013,21.673430248430247,2020
SE,RJ,12,1233.11138630137,0.3883242669497148,24.67243405676127,23.562290484140235,2020
