Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Temp_Media,Ano
CO,DF,1,1384.5882686849575,0.4939578713968958,23.17063227953411,21.859983361064895,22.515307820299505,2024
CO,DF,2,1461.5622117400421,0.3281576590026874,23.130438675022383,21.84709042076992,22.488764547896153,2024
CO,DF,3,1376.3231578947368,0.2436794271550537,23.742432581177766,22.386103467253715,23.064268024215743,2024
CO,DF,4,1526.4517525773194,0.12400556328233658,23.52904033379694,22.1798331015299,22.854436717663418,2024
CO,DF,5,1604.2357575757576,0.0001614205004035513,22.36112456281948,20.722168415388754,21.541646489104117,2024
CO,DF,6,1483.0732947976878,0.0,20.72974930362117,19.021253481894153,19.875501392757663,2024
CO,DF,7,1588.7784292630447,0.0,20.86120086160474,19.09073774905762,19.97596930533118,2024
CO,DF,8,1693.116010638298,0.0,22.30660454919156,20.49155933132365,21.399081940257606,2024
CO,DF,9,1884.528109589041,0.0,25.816281062553557,23.96686660954013,24.891573836046845,2024
CO,DF,10,1270.9109910756224,0.272502937720329,24.501732462368647,23.02737858562908,23.764555523998865,2024
CO,DF,11,1169.0658636363637,0.45364985163204746,22.590836298932384,21.4423487544484,22.016592526690392,2024
CO,DF,12,1286.0947837717342,0.35038938563599653,23.18388119953864,21.818281430219148,22.501081314878896,2024
CO,GO,1,1344.0932006781477,0.3407395946155036,25.314934706639693,23.989454969039297,24.652194837839495,2024
CO,GO,2,1356.0317062995412,0.35320899091343855,25.026652777777777,23.734270833333333,24.380461805555555,2024
CO,GO,3,1212.0868019341992,0.36977981501186874,25.61022817158503,24.33806510495893,24.974146638271982,2024
CO,GO,4,1285.126338610467,0.16415576372222654,25.472019524100062,24.1605918242831,24.816305674191582,2024
CO,GO,5,1345.2727688057798,0.0004402783695497799,24.340469351585895,22.774118437939254,23.557293894762573,2024
CO,GO,6,1191.4719138095743,0.0,23.075890868596883,21.346622123236823,22.211256495916853,2024
CO,GO,7,1252.054547304171,0.0,23.086251183712122,21.240589488636363,22.16342033617424,2024
CO,GO,8,1342.755206628478,0.0,24.48948928121059,22.62642163661581,23.5579554589132,2024
CO,GO,9,1545.848458552181,0.0033973646610573104,28.51620053139421,26.60921485003146,27.562707690712834,2024
CO,GO,10,1185.6423030180272,0.2286863685594925,26.879079118028535,25.418826199740597,26.148952658884568,2024
CO,GO,11,1115.5637661876885,0.355694948827996,24.813662124683468,23.63488484263837,24.22427348366092,2024
CO,GO,12,1202.970386084005,0.30039285261690535,25.24159911996295,23.959269337656323,24.600434228809636,2024
CO,MS,1,1453.1874352431764,0.19970457902511077,27.700097676331485,26.254852646196575,26.97747516126403,2024
CO,MS,2,1358.517024593003,0.19523371929179686,27.469646558001454,26.039788259018597,26.754717408510025,2024
CO,MS,3,1229.841245918111,0.16784717484339143,27.830460974332112,26.487091194968553,27.158776084650334,2024
CO,MS,4,1169.8063929774783,0.15706102117061022,26.46420291396363,25.207338083590344,25.835770498776988,2024
CO,MS,5,1032.0781786339755,0.03632932549738502,22.890310950878774,21.578974513043914,22.234642731961344,2024
CO,MS,6,1079.4880314809484,0.0007426291287962758,23.853805970149256,22.226924307036246,23.04036513859275,2024
CO,MS,7,979.5351135978298,0.03107573866000832,21.007598297019786,19.439028299524168,20.223313298271975,2024
CO,MS,8,1129.585543386689,0.03573968155820065,23.087070891732683,21.32440660736976,22.205738749551223,2024
CO,MS,9,1131.5410104011887,0.04976881915943685,27.172460907060106,25.464453003018633,26.31845695503937,2024
CO,MS,10,1236.6852645732818,0.14278173660596463,27.901468122936247,26.445219690805533,27.17334390687089,2024
CO,MS,11,1344.2145667069728,0.18777443441435418,27.266802443991853,25.89082327701797,26.57881286050491,2024
CO,MS,12,1295.777713481389,0.2761020362497203,26.666943855644327,25.39135279091255,26.029148323278438,2024
