Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Temp_Media,Ano
N,AC,5,1230.3005012531328,0.1552135054617676,25.67672382342211,24.154688070047428,24.915705946734768,2020
N,AC,6,1183.644744744745,0.0815450643776824,26.42156693930263,24.79427464485579,25.60792079207921,2020
N,AC,7,1217.0730110775428,0.1280473372781065,25.99707293666027,24.25945297504798,25.12826295585413,2020
N,AC,8,1396.5960446247464,0.0595518867924528,26.378416422287387,24.448856304985338,25.413636363636364,2020
N,AC,9,1375.6240963855423,0.2148414123279473,27.61446578631453,25.931212484994,26.772839135654262,2020
N,AC,10,1500.5595465393794,0.1915322580645161,26.50960526315789,25.205789473684213,25.857697368421054,2020
N,AC,11,1497.1168604651164,0.1552777777777777,26.98201438848921,25.662851536952257,26.322432962720733,2020
N,AC,12,1245.4225685785536,0.4488644184445974,25.686157024793392,24.577272727272724,25.131714876033055,2020
N,AM,1,788.7039461883409,0.2086736244806971,27.59042053740885,26.513355309159927,27.05188792328439,2020
N,AM,2,702.5358269308532,0.2478934221482098,27.513519989910456,26.49706142010342,27.00529070500694,2020
N,AM,3,728.2378845398613,0.3663818600065724,27.6441414263304,26.64353807167853,27.143839749004464,2020
N,AM,4,669.686546184739,0.4237912789636928,26.994276471320145,26.03299738708473,26.51363692920244,2020
N,AM,5,621.568551644547,0.3614730878186969,26.921353682813532,25.927949568679495,26.42465162574652,2020
N,AM,6,697.8698022190063,0.2205956225331898,27.40356394129979,26.285040431266847,26.84430218628332,2020
N,AM,7,810.0019234071784,0.0982004167455957,27.987416134838817,26.66812305678285,27.327769595810835,2020
N,AM,8,847.2069292216237,0.0645172533983966,28.487203791469195,27.14042478497455,27.81381428822187,2020
N,AM,9,891.2195335858083,0.1257696030977735,28.994445490491437,27.65466013933346,28.324552814912444,2020
N,AM,10,832.4425354969575,0.129859034600598,28.405915379987967,27.12279927812312,27.764357329055542,2020
N,AM,11,787.2407818411098,0.3396944184596196,27.886613566289824,26.745940390544707,27.316276978417264,2020
N,AM,12,704.4982990786675,0.312293411817976,27.098077363241018,26.074433508812085,26.58625543602655,2020
N,AP,1,1251.0705583756344,0.3243626062322946,26.477998580553585,25.508516678495383,25.99325762952449,2020
N,AP,2,1214.7722443559096,0.2893303899926416,26.43556701030928,25.484167893961708,25.95986745213549,2020
N,AP,3,1251.8667490729297,0.3174410774410774,26.57744107744108,25.678047138047138,26.127744107744107,2020
N,AP,4,1203.5953667953668,0.5959971408148678,26.538637992831543,25.621792114695342,26.080215053763443,2020
N,AP,5,1362.0574149659865,0.4735668789808916,27.27810745789896,26.29045709703288,26.78428227746592,2020
N,AP,6,1299.802551020408,0.3730555555555556,26.71333333333333,25.68923611111111,26.20128472222222,2020
N,AP,7,1454.291707920792,0.1606182795698924,27.18279569892473,26.045967741935485,26.61438172043011,2020
N,AP,8,1615.8974452554744,0.1374999999999999,28.13770161290323,27.0065188172043,27.57211021505376,2020
N,AP,9,1763.6640204865555,0.0720946416144746,28.53757828810021,27.37689631176061,27.95723729993041,2020
N,AP,10,1808.3162060301504,0.0239569313593539,29.218977119784658,27.984791386271876,28.601884253028267,2020
N,AP,11,1408.768992248062,0.4283530229325921,27.55517720639333,26.5184850590688,27.036831132731063,2020
N,AP,12,1479.2932098765432,0.1023066485753053,27.57238805970149,26.47951153324288,27.025949796472183,2020
