Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Temp_Media,Ano
CO,MS,10,1275.8315688978466,0.24692679913517968,25.615658434829417,24.338752439270575,24.977205437049996,2021
CO,MS,11,1555.891734716398,0.18243522685804647,27.07111712738672,25.697306925049872,26.384212026218297,2021
CO,MS,12,1643.1556819586992,0.15066445182724253,27.49422860148794,26.076441366852325,26.785334984170134,2021
CO,MT,1,1273.4519080945465,0.290967365967366,25.77351515151515,24.531800865800864,25.15265800865801,2021
CO,MT,2,1270.0394172961308,0.42578385590393597,25.835330537247852,24.638026762532455,25.236678649890152,2021
CO,MT,3,1284.0085223789085,0.25634066448292,25.46196395875494,24.275696251325044,24.86883010503999,2021
CO,MT,4,1255.7109037146554,0.12824150445397559,25.616869895961518,24.371428571428574,24.994149233695047,2021
CO,MT,5,1193.4594042712627,0.05479272488939865,24.72511013215859,23.359900881057268,24.04250550660793,2021
CO,MT,6,1134.4188820722563,0.008752997601918465,24.118972081218274,22.661269035532992,23.390120558375635,2021
CO,MT,7,1247.8229619247838,0.0,23.48354158269515,21.61778852613194,22.550665054413543,2021
CO,MT,8,1324.0163636363636,0.0032061558191728125,26.583764367816094,24.73644636015326,25.660105363984677,2021
CO,MT,9,1264.0242767670743,0.06502793296089386,29.058978164087346,27.374793300826795,28.216885732457072,2021
CO,MT,10,1210.4421143349612,0.1727021211189671,27.25955833147446,25.92281954048628,26.59118893598037,2021
CO,MT,11,1126.7249522597072,0.3579576816927323,25.719876300253024,24.561456283384878,25.140666291818953,2021
CO,MT,12,1119.7735324765545,0.2743589743589744,26.339323962516733,25.110475234270417,25.724899598393577,2021
N,AC,1,1731.9802277432711,0.43588277340957826,25.838240917782024,24.717590822179734,25.27791586998088,2021
N,AC,2,1233.2043352601156,0.7955706984667802,25.84489270386266,24.819484978540775,25.332188841201717,2021
N,AC,3,1221.306015037594,0.4796028880866426,25.469509981851182,24.389836660617057,24.92967332123412,2021
N,AC,4,1367.5603773584908,0.18511166253101735,25.837064676616915,24.53320895522388,25.185136815920398,2021
N,AC,5,1300.705675146771,0.13700234192037472,25.403161592505853,24.088758782201403,24.745960187353628,2021
N,AC,6,1323.1128846153845,0.04205128205128205,25.467354838709678,23.98477419354839,24.726064516129036,2021
N,AC,7,1420.3105651105652,0.04769874476987448,24.173071528751755,22.45890603085554,23.315988779803646,2021
N,AC,8,1321.4288265306122,0.017204301075268817,25.77029569892473,24.04072580645161,24.905510752688173,2021
N,AC,9,1380.0277634961442,0.16027777777777777,26.52444444444444,24.9775,25.75097222222222,2021
N,AC,10,1426.5791563275434,0.3924731182795699,26.270833333333332,24.90793010752688,25.589381720430104,2021
N,AC,11,1277.2010256410258,0.3936111111111111,25.952222222222222,24.71222222222222,25.33222222222222,2021
N,AC,12,1147.5733333333333,0.48172043010752685,26.083602150537637,24.868951612903224,25.47627688172043,2021
N,AM,1,639.3826543684345,0.4783912747102931,26.44628584861307,25.47745651151857,25.96187118006582,2021
N,AM,2,672.4401856401856,0.37743279060961754,26.990252525252522,26.04830808080808,26.5192803030303,2021
N,AM,3,698.4725798644724,0.45614617940199337,26.46300178412132,25.511418376449598,25.987210080285458,2021
N,AM,4,713.6742244640604,0.26605555555555555,27.122999999999998,26.142697674418606,26.632848837209302,2021
N,AM,5,673.8136664826063,0.24227970897332254,27.262404287901994,26.354798366513528,26.80860132720776,2021
N,AM,6,757.7820019887305,0.19654427645788336,27.3109296901033,26.315161612795734,26.813045651449517,2021
N,AM,7,892.5382331643737,0.19336143308746048,27.64843807423741,26.50393237780228,27.076185226019845,2021
N,AM,8,941.5745042492917,0.19106317411402157,28.84812138728324,27.638547687861273,28.243334537572256,2021
N,AM,9,960.5346537647415,0.14275491949910554,28.207640067911715,26.989190718732317,27.598415393322014,2021
N,AM,10,935.9642465395665,0.2975009324878777,28.275168107588858,27.108045148895293,27.691606628242077,2021
N,AM,11,813.7029830322934,0.3112244897959184,27.32272498743087,26.2474358974359,26.785080442433383,2021
N,AM,12,694.1997098390926,0.4834973504920515,26.903275109170306,25.94868995633188,26.425982532751092,2021
N,AP,1,1291.5919945725916,0.30889733840304184,26.532471482889733,25.482889733840302,26.007680608365018,2021
N,AP,2,1126.5623641304348,0.45523952095808384,25.75284431137725,24.85426646706587,25.303555389221557,2021
N,AP,3,1183.753942428035,0.520952380952381,25.85061224489796,24.944693877551018,25.39765306122449,2021
N,AP,4,1237.0701044386421,0.34366812227074234,26.375618631732166,25.485589519650652,25.93060407569141,2021
N,AP,5,1368.287240356083,0.512133072407045,27.321379310344827,26.22886699507389,26.77512315270936,2021
N,AP,6,1573.2864450127877,0.13081285444234406,28.09470588235294,26.832156862745098,27.463431372549017,2021
N,AP,7,2044.3422764227644,0.016260162601626018,30.102830188679246,28.278301886792452,29.19056603773585,2021
N,AP,8,2308.512765957447,0.01702127659574468,30.887804878048783,29.112195121951217,30.0,2021
N,AP,9,1686.0500000000002,0.0,31.8,30.2,31.0,2021
N,AP,10,,,,,,2021
N,AP,11,,,,,,2021
N,AP,12,,,,,,2021
N,PA,1,1194.7297346200241,0.3723596063187495,26.554271356783918,25.45461734904028,26.0044443529121,2021
N,PA,2,1027.244229863401,0.580884046416866,26.046228085709224,25.088002479192493,25.567115282450857,2021
N,PA,3,1098.2594134629996,0.5147577092511013,25.82934802571166,24.858172635445364,25.34376033057851,2021
N,PA,4,1207.4483923705723,0.34920033670033673,26.619675584579735,25.588613861386136,26.104144722982937,2021
N,PA,5,1299.6313016727554,0.19783227501642217,26.91604600219058,25.77881708652793,26.347431544359253,2021
N,PA,6,1367.1490107526884,0.08339719029374201,27.01863584110359,25.726644526759483,26.372640183931537,2021
N,PA,7,1285.8431661297745,0.1041437125748503,27.23143439673783,25.8155672823219,26.523500839529866,2021
N,PA,8,1416.5475420302193,0.08286106603420297,28.162554735393467,26.648630051294884,27.405592393344175,2021
N,PA,9,1251.8881670533644,0.18143795368129967,28.018807126258714,26.75802431143253,27.38841571884562,2021
N,PA,10,1246.573211781206,0.20227752003374105,28.012832664965366,26.820470288005833,27.416651476485598,2021
N,PA,11,1132.3911340967861,0.28464947622884773,27.219333843797855,26.083020673813174,26.651177258805514,2021
N,PA,12,1085.2202241334376,0.4169725864123957,26.836699415495584,25.815058443173342,26.325878929334465,2021
N,RO,1,1275.3389731621937,0.2674731182795699,25.61431451612903,24.496236559139785,25.055275537634408,2021
N,RO,2,1155.7993297587132,0.36607142857142855,25.5234375,24.481175595238092,25.002306547619046,2021
N,RO,3,1271.067969735183,0.29583333333333334,25.237163978494625,24.14307795698925,24.690120967741937,2021
N,RO,4,1346.7820580474934,0.15861111111111112,25.66277777777778,24.51673611111111,25.089756944444446,2021
N,RO,5,1524.4151937984498,0.020186915887850466,25.937167300380228,24.57319391634981,25.255180608365016,2021
N,RO,6,1533.9872958257713,0.0030769230769230774,25.242273730684328,23.715011037527592,24.47864238410596,2021
N,RO,7,1646.4364653243847,0.0,25.273366214549938,23.580764488286068,24.427065351418,2021
N,RO,8,1548.3220430107529,0.0,27.348252688172042,25.75698924731183,26.552620967741937,2021
N,RO,9,1521.8734072022162,0.045934379457917264,27.148787446504993,25.764336661911553,26.456562054208273,2021
N,RO,10,1374.6901204819278,,26.317741935483873,25.1125,25.71512096774194,2021
N,RO,11,1159.079217603912,,24.3175,23.285694444444445,23.80159722222222,2021
