Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Temp_Media,Ano
CO,DF,1,1439.417914691943,0.26126076089975003,21.961871702304915,20.578172729797277,21.270022216051096,2023
CO,DF,2,1697.5773626373625,0.20638930163447253,23.55462962962963,22.00182098765432,22.778225308641975,2023
CO,DF,3,1410.2110453648916,0.20252383623107123,22.527361928791702,21.102186711522286,21.814774320156992,2023
CO,DF,4,1384.887736358725,0.20284836637810666,22.140463557665456,20.75467746439542,21.447570511030438,2023
CO,DF,5,1593.9196164383561,0.0039757040309221425,21.353497373513964,19.725490738180813,20.53949405584739,2023
CO,DF,6,1438.5557777777776,0.006,20.542333333333332,18.900194444444445,19.72126388888889,2023
CO,DF,7,1469.2369892473118,0.0,21.082226404947566,19.302742672761493,20.19248453885453,2023
CO,DF,8,1542.097136797455,0.052286175363098444,23.044531250000002,21.26271551724138,22.15362338362069,2023
CO,DF,9,1722.0549486208763,0.05032513429459994,25.413227812323345,23.697060486150367,24.555144149236856,2023
CO,DF,10,1615.1990300678951,0.1318931210915293,25.813960762013078,24.129854990048337,24.971907876030706,2023
CO,DF,11,1592.105505457997,0.16395450568678915,25.516666666666666,23.828205128205127,24.672435897435896,2023
CO,DF,12,1488.7650273224044,0.28561604584527217,24.572128329991408,22.987109710684617,23.77961902033801,2023
CO,GO,1,1258.936875824383,0.3980606560759232,23.861537992065912,22.603393347574,23.232465669819955,2023
CO,GO,2,1416.5217634635692,0.24162211700015276,25.21758725855642,23.798780074551,24.508183666553712,2023
CO,GO,3,1213.8530035667354,0.23149205475682738,24.438063977082837,23.14634757698735,23.792205777035093,2023
CO,GO,4,1154.9811407720376,0.14078128206882398,24.25053378660464,22.92593785411821,23.588235820361426,2023
CO,GO,5,1234.518253968254,0.006253376553214478,23.202112137436018,21.5668294404895,22.38447078896276,2023
CO,GO,6,1158.485234499205,0.007552519654594665,22.29259237293162,20.597734685405918,21.445163529168767,2023
CO,GO,7,1209.03096636953,0.001438662432765213,23.12083253158874,21.297248412545702,22.209040472067223,2023
CO,GO,8,1220.6168231931401,0.023494942448552495,25.198547893468774,23.372546721364852,24.285547307416813,2023
CO,GO,9,1377.6506819364915,0.044620874219446924,27.94515622868058,26.211338518215307,27.078247373447944,2023
CO,GO,10,1447.479547495062,0.1284124194493263,28.145747765160667,26.55289925102682,27.349323508093743,2023
CO,GO,11,1484.8653257202182,0.19020157522360165,27.554674237895995,25.9578601315003,26.756267184698146,2023
CO,GO,12,1422.3380233775297,0.22473098214841078,26.74478920532272,25.259992538241512,26.00239087178212,2023
CO,MS,1,1352.4477995218276,0.2954887218045113,25.83656018810575,24.53172564087859,25.18414291449217,2023
CO,MS,2,1197.184767007942,0.37538526197814515,25.23712800841428,24.022551506527254,24.62983975747077,2023
CO,MS,3,1301.2911972153522,0.27017962567516646,26.03568952781408,24.746241263708164,25.39096539576112,2023
CO,MS,4,1202.405397027988,0.21583440533270962,24.239764478141637,23.005022315427222,23.62239339678443,2023
CO,MS,5,1098.1013334612433,0.086155395200537,22.34889484978541,21.03070815450644,21.689801502145926,2023
CO,MS,6,1090.7672698190543,0.0759676970203286,19.706421609579504,18.31455304928989,19.010487329434696,2023
CO,MS,7,1098.049664494797,0.016220870781981592,21.99322426134223,20.52450352510629,21.25886389322426,2023
CO,MS,8,1177.8045675502156,0.06218397562670373,24.5992766823832,23.058363694813544,23.82882018859837,2023
CO,MS,9,1280.6730090518422,0.08039314799213705,27.048446716476604,25.497811656165617,26.27312918632111,2023
CO,MS,10,1337.964212089448,0.16418418308545085,28.254086564868725,26.789861370887884,27.521973967878303,2023
CO,MS,11,1345.9091604269556,0.17337706283512938,28.29515877147319,26.83964133041393,27.56740005094356,2023
