Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Ano
CO,DF,1,1360.5703974417543,0.46598493003229274,22.729827864443248,21.456374394835933,2025
CO,DF,2,1733.7585008147746,0.1408996127494787,23.672147750968126,22.17464998510575,2025
CO,DF,3,1576.607711319822,0.13035616438356165,23.886657534246577,22.392,2025
CO,DF,4,1406.9237613212572,0.15474125874125874,23.1166993006993,21.745594405594407,2025
CO,GO,1,1241.9609292860775,0.40007057163020465,25.02013068181818,23.743028409090908,2025
CO,GO,2,1372.9459755864964,0.255755985569039,25.484658167729034,24.072626710830573,2025
CO,GO,3,1366.410374689188,0.1658577278932201,26.061624602091857,24.62671100500227,2025
CO,GO,4,1168.3244492793037,0.1748430597535457,25.080982855800844,23.791104978863316,2025
CO,MS,1,1427.8607209245938,0.17317073170731706,27.852639805488018,26.33770264011116,2025
CO,MS,2,1322.5599283917168,0.16574011299435026,27.281960444829195,25.854424985016983,2025
CO,MS,3,1251.3520130475304,0.16560592496134124,27.129019513947085,25.724031611087828,2025
CO,MS,4,965.4355674102812,0.3056865464632455,24.23665501867695,23.17253283528136,2025
CO,MT,1,957.2262082994304,0.3540255551420419,25.9244499792445,24.742645634426456,2025
CO,MT,2,949.941012406049,0.353720803910918,25.989215384615385,24.726892307692307,2025
CO,MT,3,1009.1481863410221,0.23724049000644745,26.401654247391953,25.14360655737705,2025
CO,MT,4,910.4041837331773,0.21995595926231765,26.122270252961897,24.928282100544347,2025
N,AC,1,841.2128781331029,0.2879032258064516,26.400090579710145,25.396422101449275,2025
N,AC,2,831.7620689655172,0.6153273809523809,25.865931863727457,24.98937875751503,2025
N,AC,3,823.0988773747841,0.3838926174496644,26.039486717694732,25.180009004952726,2025
N,AC,4,796.0870987280437,0.45467557251908397,26.10547263681592,25.132409381663116,2025
N,AM,1,757.5482550978513,0.3570534424650939,26.936533302227925,25.89843695322524,2025
N,AM,2,735.6076577251612,0.5255654918463967,26.576481080392405,25.619365524270606,2025
N,AM,3,772.7488945807495,0.43011836399859366,26.893225733121163,25.90252330075017,2025
N,AM,4,772.9998209119714,0.3595813953488372,27.057787070524412,26.071982368896926,2025
N,AP,1,838.6632258064516,0.27550744248985115,26.210509697789806,25.26549391069012,2025
N,AP,2,809.0303851640514,0.3954319761668322,25.912711022840117,25.028947368421054,2025
N,AP,3,808.5544401544402,0.3870619946091644,25.953324348607367,25.02587601078167,2025
N,AP,4,840.3755333333334,0.42855818266110335,26.330505331478907,25.414742698191933,2025
N,PA,1,900.6557863232359,0.3958702064896755,26.441038575667655,25.435364985163208,2025
N,PA,2,941.9735149572649,0.5655549021255146,26.26325617176026,25.26882299461501,2025
N,PA,3,954.0877224199288,0.515684481755465,26.532283891979915,25.506262722214682,2025
N,PA,4,981.2035374868004,0.31347084288260757,27.024822440634193,25.933761388908817,2025
N,RO,1,1148.1747311827958,0.41628664495114004,25.582310704960836,24.551762402088773,2025
N,RO,2,1233.5786982248521,0.531979695431472,25.832845321451305,24.703946530872056,2025
N,RO,3,1357.7105769230768,0.22043628013777267,26.09500574052813,24.94138920780712,2025
N,RO,4,1453.4359621451104,0.05508474576271186,26.467314702308624,25.277460510328066,2025
N,RR,1,1481.5891358024692,0.009408602150537635,28.94005376344086,27.73481182795699,2025
N,RR,2,1405.8441489361703,0.018154761904761906,28.677380952380954,27.585267857142856,2025
N,RR,3,1547.5133333333333,0.019474497681607417,28.834126984126986,27.625555555555554,2025
N,RR,4,1515.1101744186046,0.009389671361502348,29.540506329113924,27.965822784810126,2025
N,TO,1,1322.2202978169728,0.35522263836870577,25.86957531198607,24.72272419464061,2025
N,TO,2,1394.9595925569456,0.30585406899867773,26.17059008160703,24.962534002929484,2025
N,TO,3,1371.4937810945273,0.267025664527956,26.732524176041053,25.48026445628577,2025
N,TO,4,1369.3484434826037,0.14863949550391217,26.992746373186595,25.784182091045523,2025
NE,AL,1,1705.1983237547893,0.08872691933916424,28.61479759299781,27.428419037199127,2025
NE,AL,2,1717.3094368340944,0.09522842639593908,27.950422125181948,26.7383114992722,2025
NE,AL,3,1706.0504836480884,0.037107776261937245,28.606010498687663,27.34496062992126,2025
NE,AL,4,1605.6813113061437,0.06569957884885354,28.68248666853775,27.47819253438114,2025
NE,BA,1,1358.1623319921239,0.2279228855721393,26.65398501716783,25.376859848090728,2025
NE,BA,2,1516.0386298763083,0.07844850410378608,26.758696507900805,25.344295113310462,2025
NE,BA,3,1538.7568222946072,0.0573876851511813,27.24874929083501,25.7807932332766,2025
NE,BA,4,1380.7400609291699,0.10288717316550963,27.11055641082032,25.763442929404004,2025
NE,CE,1,1048.7668116426898,0.24970212765957445,29.396390406079316,28.077131322726196,2025
NE,CE,2,1064.0409836065573,0.17463768115942027,28.735268277376843,27.534452463131473,2025
NE,CE,3,913.0864639733445,0.2416873449131514,27.73239024390244,26.611154471544715,2025
NE,CE,4,855.4674428633032,0.18140417457305505,28.139233333333333,26.982533333333336,2025
NE,MA,1,1045.4997750281216,0.3566044551475015,26.915782092772382,25.914487594390504,2025
NE,MA,2,1096.506351791531,0.38140822784810124,26.457526621490803,25.426064859632138,2025
NE,MA,3,1131.6761212624585,0.4505991652080248,26.621180438448565,25.56905002810568,2025
NE,MA,4,1176.638441680357,0.3276961550484526,27.266314086610254,26.155811348929817,2025
